,Color,Suit,Face,Symmetric,Rotationally symmetric,Odd,Prime
?1,Red,Diamonds,No,Yes,No,Yes,No
?2,Red,Diamonds,No,Yes,Yes,No,Yes
?3,Red,Diamonds,No,Yes,No,Yes,Yes
?4,Red,Diamonds,No,Yes,Yes,No,No
?5,Red,Diamonds,No,Yes,No,Yes,Yes
?6,Red,Diamonds,No,Yes,No,No,No
?7,Red,Diamonds,No,Yes,No,Yes,Yes
?8,Red,Diamonds,No,Yes,No,No,No
?9,Red,Diamonds,No,Yes,No,Yes,No
?10,Red,Diamonds,No,Yes,Yes,No,No
?11,Red,Diamonds,Yes,No,Yes,Yes,Yes
?12,Red,Diamonds,Yes,No,Yes,No,No
?13,Red,Diamonds,Yes,No,Yes,Yes,Yes
?1,Black,Clubs,No,Yes,No,Yes,No
?2,Black,Clubs,No,Yes,Yes,No,Yes
?3,Black,Clubs,No,Yes,No,Yes,Yes
?4,Black,Clubs,No,Yes,Yes,No,No
?5,Black,Clubs,No,Yes,No,Yes,Yes
?6,Black,Clubs,No,Yes,No,No,No
?7,Black,Clubs,No,Yes,No,Yes,Yes
?8,Black,Clubs,No,Yes,No,No,No
?9,Black,Clubs,No,Yes,No,Yes,No
?10,Black,Clubs,No,Yes,Yes,No,No
?11,Black,Clubs,Yes,No,Yes,Yes,Yes
?12,Black,Clubs,Yes,No,Yes,No,No
?13,Black,Clubs,Yes,No,Yes,Yes,Yes
?1,Red,Hearts,No,Yes,No,Yes,No
?2,Red,Hearts,No,Yes,Yes,No,Yes
?3,Red,Hearts,No,Yes,No,Yes,Yes
?4,Red,Hearts,No,Yes,Yes,No,No
?5,Red,Hearts,No,Yes,No,Yes,Yes
?6,Red,Hearts,No,Yes,No,No,No
?7,Red,Hearts,No,Yes,No,Yes,Yes
?8,Red,Hearts,No,Yes,No,No,No
?9,Red,Hearts,No,Yes,No,Yes,No
?10,Red,Hearts,No,Yes,Yes,No,No
?11,Red,Hearts,Yes,No,Yes,Yes,Yes
?12,Red,Hearts,Yes,No,Yes,No,No
?13,Red,Hearts,Yes,No,Yes,Yes,Yes
?1,Black,Spades,No,Yes,No,Yes,No
?2,Black,Spades,No,Yes,Yes,No,Yes
?3,Black,Spades,No,Yes,No,Yes,Yes
?4,Black,Spades,No,Yes,Yes,No,No
?5,Black,Spades,No,Yes,No,Yes,Yes
?6,Black,Spades,No,Yes,No,No,No
?7,Black,Spades,No,Yes,No,Yes,Yes
?8,Black,Spades,No,Yes,No,No,No
?9,Black,Spades,No,Yes,No,Yes,No
?10,Black,Spades,No,Yes,Yes,No,No
?11,Black,Spades,Yes,No,Yes,Yes,Yes
?12,Black,Spades,Yes,No,Yes,No,No
?13,Black,Spades,Yes,No,Yes,Yes,Yes
